score,nombre,apellido,email,match_query,match_result,match_result_values,destTable,sourceTable,nombre_completo
100.0%,Elizabeth,Smith,user34@example.com,ElizabethSmithuser34@example.com,ElizabethSmithuser34@example.com,"{'first_name': 'Elizabeth', 'last_name': 'Smith', 'email': 'user34@example.com'}",Usuarios,Clientes,Elizabeth Smith
100.0%,Shelly,Estes,user35@example.com,ShellyEstesuser35@example.com,ShellyEstesuser35@example.com,"{'first_name': 'Shelly', 'last_name': 'Estes', 'email': 'user35@example.com'}",Usuarios,Clientes,Shelly Estes
100.0%,Jacob,Williams,user36@example.com,JacobWilliamsuser36@example.com,JacobWilliamsuser36@example.com,"{'first_name': 'Jacob', 'last_name': 'Williams', 'email': 'user36@example.com'}",Usuarios,Clientes,Jacob Williams
100.0%,Roberto,Chang,user37@example.com,RobertoChanguser37@example.com,RobertoChanguser37@example.com,"{'first_name': 'Roberto', 'last_name': 'Chang', 'email': 'user37@example.com'}",Usuarios,Clientes,Roberto Chang
100.0%,Karen,Smith,user38@example.com,KarenSmithuser38@example.com,KarenSmithuser38@example.com,"{'first_name': 'Karen', 'last_name': 'Smith', 'email': 'user38@example.com'}",Usuarios,Clientes,Karen Smith
100.0%,Anthony,Hernandez,user39@example.com,AnthonyHernandezuser39@example.com,AnthonyHernandezuser39@example.com,"{'first_name': 'Anthony', 'last_name': 'Hernandez', 'email': 'user39@example.com'}",Usuarios,Clientes,Anthony Hernandez
100.0%,Breanna,Watts,user40@example.com,BreannaWattsuser40@example.com,BreannaWattsuser40@example.com,"{'first_name': 'Breanna', 'last_name': 'Watts', 'email': 'user40@example.com'}",Usuarios,Clientes,Breanna Watts
100.0%,Nicholas,Marshall,user41@example.com,NicholasMarshalluser41@example.com,NicholasMarshalluser41@example.com,"{'first_name': 'Nicholas', 'last_name': 'Marshall', 'email': 'user41@example.com'}",Usuarios,Clientes,Nicholas Marshall
100.0%,Christopher,Bowen,user42@example.com,ChristopherBowenuser42@example.com,ChristopherBowenuser42@example.com,"{'first_name': 'Christopher', 'last_name': 'Bowen', 'email': 'user42@example.com'}",Usuarios,Clientes,Christopher Bowen
100.0%,Nicole,Thompson,user43@example.com,NicoleThompsonuser43@example.com,NicoleThompsonuser43@example.com,"{'first_name': 'Nicole', 'last_name': 'Thompson', 'email': 'user43@example.com'}",Usuarios,Clientes,Nicole Thompson
100.0%,Anna,Russell,user44@example.com,AnnaRusselluser44@example.com,AnnaRusselluser44@example.com,"{'first_name': 'Anna', 'last_name': 'Russell', 'email': 'user44@example.com'}",Usuarios,Clientes,Anna Russell
100.0%,Donna,King,user45@example.com,DonnaKinguser45@example.com,DonnaKinguser45@example.com,"{'first_name': 'Donna', 'last_name': 'King', 'email': 'user45@example.com'}",Usuarios,Clientes,Donna King
100.0%,Denise,Byrd,user46@example.com,DeniseByrduser46@example.com,DeniseByrduser46@example.com,"{'first_name': 'Denise', 'last_name': 'Byrd', 'email': 'user46@example.com'}",Usuarios,Clientes,Denise Byrd
100.0%,Michael,Robinson,user47@example.com,MichaelRobinsonuser47@example.com,MichaelRobinsonuser47@example.com,"{'first_name': 'Michael', 'last_name': 'Robinson', 'email': 'user47@example.com'}",Usuarios,Clientes,Michael Robinson
100.0%,Daniel,Harrison,user48@example.com,DanielHarrisonuser48@example.com,DanielHarrisonuser48@example.com,"{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",Usuarios,Clientes,Daniel Harrison
100.0%,Jason,Sellers,user49@example.com,JasonSellersuser49@example.com,JasonSellersuser49@example.com,"{'first_name': 'Jason', 'last_name': 'Sellers', 'email': 'user49@example.com'}",Usuarios,Clientes,Jason Sellers
100.0%,Stephanie,Torres,user50@example.com,StephanieTorresuser50@example.com,StephanieTorresuser50@example.com,"{'first_name': 'Stephanie', 'last_name': 'Torres', 'email': 'user50@example.com'}",Usuarios,Clientes,Stephanie Torres
100.0%,Kristin,Randall,user51@example.com,KristinRandalluser51@example.com,KristinRandalluser51@example.com,"{'first_name': 'Kristin', 'last_name': 'Randall', 'email': 'user51@example.com'}",Usuarios,Clientes,Kristin Randall
100.0%,Bradley,Nguyen,user52@example.com,BradleyNguyenuser52@example.com,BradleyNguyenuser52@example.com,"{'first_name': 'Bradley', 'last_name': 'Nguyen', 'email': 'user52@example.com'}",Usuarios,Clientes,Bradley Nguyen
100.0%,Lance,Rice,user53@example.com,LanceRiceuser53@example.com,LanceRiceuser53@example.com,"{'first_name': 'Lance', 'last_name': 'Rice', 'email': 'user53@example.com'}",Usuarios,Clientes,Lance Rice
100.0%,Paul,Perkins,user54@example.com,PaulPerkinsuser54@example.com,PaulPerkinsuser54@example.com,"{'first_name': 'Paul', 'last_name': 'Perkins', 'email': 'user54@example.com'}",Usuarios,Clientes,Paul Perkins
