nombre,apellido,email,match_query,match_result,score,match_result_values,destTable,sourceTable
Deborah,Davis,user21@example.com,DeborahDavisuser21@example.com,DeborahDavisuser21@example.com,100.0,"{'first_name': 'Deborah', 'last_name': 'Davis', 'email': 'user21@example.com'}",Usuarios,Clientes
Brenda,Reynolds,user22@example.com,BrendaReynoldsuser22@example.com,BrendaReynoldsuser22@example.com,100.0,"{'first_name': 'Brenda', 'last_name': 'Reynolds', 'email': 'user22@example.com'}",Usuarios,Clientes
Paul,Nash,user23@example.com,PaulNashuser23@example.com,PaulNashuser23@example.com,100.0,"{'first_name': 'Paul', 'last_name': 'Nash', 'email': 'user23@example.com'}",Usuarios,Clientes
Steven,Parsons,user24@example.com,StevenParsonsuser24@example.com,StevenParsonsuser24@example.com,100.0,"{'first_name': 'Steven', 'last_name': 'Parsons', 'email': 'user24@example.com'}",Usuarios,Clientes
Adrian,Richards,user25@example.com,AdrianRichardsuser25@example.com,AdrianRichardsuser25@example.com,100.0,"{'first_name': 'Adrian', 'last_name': 'Richards', 'email': 'user25@example.com'}",Usuarios,Clientes
Kristin,Hall,user26@example.com,KristinHalluser26@example.com,KristinHalluser26@example.com,100.0,"{'first_name': 'Kristin', 'last_name': 'Hall', 'email': 'user26@example.com'}",Usuarios,Clientes
Gerald,Brown,user27@example.com,GeraldBrownuser27@example.com,GeraldBrownuser27@example.com,100.0,"{'first_name': 'Gerald', 'last_name': 'Brown', 'email': 'user27@example.com'}",Usuarios,Clientes
Susan,Freeman,user28@example.com,SusanFreemanuser28@example.com,SusanFreemanuser28@example.com,100.0,"{'first_name': 'Susan', 'last_name': 'Freeman', 'email': 'user28@example.com'}",Usuarios,Clientes
Gary,Thornton,user29@example.com,GaryThorntonuser29@example.com,GaryThorntonuser29@example.com,100.0,"{'first_name': 'Gary', 'last_name': 'Thornton', 'email': 'user29@example.com'}",Usuarios,Clientes
Joyce,Bailey,user30@example.com,JoyceBaileyuser30@example.com,JoyceBaileyuser30@example.com,100.0,"{'first_name': 'Joyce', 'last_name': 'Bailey', 'email': 'user30@example.com'}",Usuarios,Clientes
Allison,Hill,user31@example.com,AllisonHilluser31@example.com,AllisonHilluser31@example.com,100.0,"{'first_name': 'Allison', 'last_name': 'Hill', 'email': 'user31@example.com'}",Usuarios,Clientes
Teresa,Jones,teresa.jones70@example.com,TeresaJonesteresa.jones70@example.com,TheresaJohnsonuser140@example.com,74.28571428571429,"{'first_name': 'Theresa', 'last_name': 'Johnson', 'email': 'user140@example.com'}",Usuarios,Clientes
Christopher,Lane,christopher.lane79@example.com,ChristopherLanechristopher.lane79@example.com,ChristopherJensenuser18@example.com,70.0,"{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",Usuarios,Clientes
Michael,Wagner,michael.wagner87@example.com,MichaelWagnermichael.wagner87@example.com,MichaelCochranuser167@example.com,70.27027027027026,"{'first_name': 'Michael', 'last_name': 'Cochran', 'email': 'user167@example.com'}",Usuarios,Clientes
Joseph,Moreno,joseph.moreno108@example.com,JosephMorenojoseph.moreno108@example.com,JosephGordonuser182@example.com,73.23943661971832,"{'first_name': 'Joseph', 'last_name': 'Gordon', 'email': 'user182@example.com'}",Usuarios,Clientes
Joseph,Torres,joseph.torres109@example.com,JosephTorresjoseph.torres109@example.com,StephanieTorresuser50@example.com,71.23287671232876,"{'first_name': 'Stephanie', 'last_name': 'Torres', 'email': 'user50@example.com'}",Usuarios,Clientes
Dustin,Bell,dustin.bell113@example.com,DustinBelldustin.bell113@example.com,DavidBelluser123@example.com,71.875,"{'first_name': 'David', 'last_name': 'Bell', 'email': 'user123@example.com'}",Usuarios,Clientes
Richard,Lewis,richard.lewis122@example.com,RichardLewisrichard.lewis122@example.com,RichardDrakeuser172@example.com,70.4225352112676,"{'first_name': 'Richard', 'last_name': 'Drake', 'email': 'user172@example.com'}",Usuarios,Clientes
Daniel,Smith,daniel.smith125@example.com,DanielSmithdaniel.smith125@example.com,DanielSmithuser17@example.com,74.62686567164178,"{'first_name': 'Daniel', 'last_name': 'Smith', 'email': 'user17@example.com'}",Usuarios,Clientes
Mary,Glover,mary.glover144@example.com,MaryGlovermary.glover144@example.com,MaryBrownuser144@example.com,71.875,"{'first_name': 'Mary', 'last_name': 'Brown', 'email': 'user144@example.com'}",Usuarios,Clientes
Allison,Hill,allison@example.com,AllisonHillallison@example.com,AllisonHilluser31@example.com,81.35593220338984,"{'first_name': 'Allison', 'last_name': 'Hill', 'email': 'user31@example.com'}",Usuarios,Clientes
Jamie,Miller,user32@example.com,JamieMilleruser32@example.com,JamieMilleruser32@example.com,100.0,"{'first_name': 'Jamie', 'last_name': 'Miller', 'email': 'user32@example.com'}",Usuarios,Clientes
Kimberly,Johnson,user33@example.com,KimberlyJohnsonuser33@example.com,KimberlyJohnsonuser33@example.com,100.0,"{'first_name': 'Kimberly', 'last_name': 'Johnson', 'email': 'user33@example.com'}",Usuarios,Clientes
Elizabeth,Smith,user34@example.com,ElizabethSmithuser34@example.com,ElizabethSmithuser34@example.com,100.0,"{'first_name': 'Elizabeth', 'last_name': 'Smith', 'email': 'user34@example.com'}",Usuarios,Clientes
Shelly,Estes,user35@example.com,ShellyEstesuser35@example.com,ShellyEstesuser35@example.com,100.0,"{'first_name': 'Shelly', 'last_name': 'Estes', 'email': 'user35@example.com'}",Usuarios,Clientes
Jacob,Williams,user36@example.com,JacobWilliamsuser36@example.com,JacobWilliamsuser36@example.com,100.0,"{'first_name': 'Jacob', 'last_name': 'Williams', 'email': 'user36@example.com'}",Usuarios,Clientes
Roberto,Chang,user37@example.com,RobertoChanguser37@example.com,RobertoChanguser37@example.com,100.0,"{'first_name': 'Roberto', 'last_name': 'Chang', 'email': 'user37@example.com'}",Usuarios,Clientes
Karen,Smith,user38@example.com,KarenSmithuser38@example.com,KarenSmithuser38@example.com,100.0,"{'first_name': 'Karen', 'last_name': 'Smith', 'email': 'user38@example.com'}",Usuarios,Clientes
Anthony,Hernandez,user39@example.com,AnthonyHernandezuser39@example.com,AnthonyHernandezuser39@example.com,100.0,"{'first_name': 'Anthony', 'last_name': 'Hernandez', 'email': 'user39@example.com'}",Usuarios,Clientes
Breanna,Watts,user40@example.com,BreannaWattsuser40@example.com,BreannaWattsuser40@example.com,100.0,"{'first_name': 'Breanna', 'last_name': 'Watts', 'email': 'user40@example.com'}",Usuarios,Clientes
Nicholas,Marshall,user41@example.com,NicholasMarshalluser41@example.com,NicholasMarshalluser41@example.com,100.0,"{'first_name': 'Nicholas', 'last_name': 'Marshall', 'email': 'user41@example.com'}",Usuarios,Clientes
Christopher,Bowen,user42@example.com,ChristopherBowenuser42@example.com,ChristopherBowenuser42@example.com,100.0,"{'first_name': 'Christopher', 'last_name': 'Bowen', 'email': 'user42@example.com'}",Usuarios,Clientes
Nicole,Thompson,user43@example.com,NicoleThompsonuser43@example.com,NicoleThompsonuser43@example.com,100.0,"{'first_name': 'Nicole', 'last_name': 'Thompson', 'email': 'user43@example.com'}",Usuarios,Clientes
Anna,Russell,user44@example.com,AnnaRusselluser44@example.com,AnnaRusselluser44@example.com,100.0,"{'first_name': 'Anna', 'last_name': 'Russell', 'email': 'user44@example.com'}",Usuarios,Clientes
Donna,King,user45@example.com,DonnaKinguser45@example.com,DonnaKinguser45@example.com,100.0,"{'first_name': 'Donna', 'last_name': 'King', 'email': 'user45@example.com'}",Usuarios,Clientes
Denise,Byrd,user46@example.com,DeniseByrduser46@example.com,DeniseByrduser46@example.com,100.0,"{'first_name': 'Denise', 'last_name': 'Byrd', 'email': 'user46@example.com'}",Usuarios,Clientes
Michael,Robinson,user47@example.com,MichaelRobinsonuser47@example.com,MichaelRobinsonuser47@example.com,100.0,"{'first_name': 'Michael', 'last_name': 'Robinson', 'email': 'user47@example.com'}",Usuarios,Clientes
Daniel,Harrison,user48@example.com,DanielHarrisonuser48@example.com,DanielHarrisonuser48@example.com,100.0,"{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",Usuarios,Clientes
Jason,Sellers,user49@example.com,JasonSellersuser49@example.com,JasonSellersuser49@example.com,100.0,"{'first_name': 'Jason', 'last_name': 'Sellers', 'email': 'user49@example.com'}",Usuarios,Clientes
Stephanie,Torres,user50@example.com,StephanieTorresuser50@example.com,StephanieTorresuser50@example.com,100.0,"{'first_name': 'Stephanie', 'last_name': 'Torres', 'email': 'user50@example.com'}",Usuarios,Clientes
Kristin,Randall,user51@example.com,KristinRandalluser51@example.com,KristinRandalluser51@example.com,100.0,"{'first_name': 'Kristin', 'last_name': 'Randall', 'email': 'user51@example.com'}",Usuarios,Clientes
Bradley,Nguyen,user52@example.com,BradleyNguyenuser52@example.com,BradleyNguyenuser52@example.com,100.0,"{'first_name': 'Bradley', 'last_name': 'Nguyen', 'email': 'user52@example.com'}",Usuarios,Clientes
Lance,Rice,user53@example.com,LanceRiceuser53@example.com,LanceRiceuser53@example.com,100.0,"{'first_name': 'Lance', 'last_name': 'Rice', 'email': 'user53@example.com'}",Usuarios,Clientes
Paul,Perkins,user54@example.com,PaulPerkinsuser54@example.com,PaulPerkinsuser54@example.com,100.0,"{'first_name': 'Paul', 'last_name': 'Perkins', 'email': 'user54@example.com'}",Usuarios,Clientes
Joseph,Mason,joseph.mason173@example.com,JosephMasonjoseph.mason173@example.com,JosephHoganuser127@example.com,70.58823529411764,"{'first_name': 'Joseph', 'last_name': 'Hogan', 'email': 'user127@example.com'}",Usuarios,Clientes
Tina,Webster,tina.webster175@example.com,TinaWebstertina.webster175@example.com,AmandaSteinuser178@example.com,70.58823529411764,"{'first_name': 'Amanda', 'last_name': 'Stein', 'email': 'user178@example.com'}",Usuarios,Clientes
